id,sentence,label
9566,'would enable live traffic aware apes',0
9569,'please try forgetting like bold italian shadow distinguish titlessubtitles content',1
9576,'since computers invented save time suggest allowed unload one zip file using numbering file names portal could place right order',1
9577,'allow rearranging user wants change',1
9579,'add sird instructions better use arm non instructions path games',1
9580,'also using hot snapping code generation optimized machine code like hotspot cava would also helpful mitigate slow code',1
9587,'microsoft seriously look getting rid semantic payment stuff',1
9599,'would extremely useful variety app types notified upon call started ended events least able check whether device used phonecall',1
9626,'would like see information mortification process de center pp',1
9628,'would nice see glance app features one markets',1
9630,'also would fun record showing features markets dates',1
9636,'make progressing control available windows phone like win',1
9657,'would great moved second third etc of record tried trigger success',1
9660,'need applications mobile platforms able read data separate def records contained def message',1
9670,'provide process classapis like regular windows develop lower level operations like task manager windows',1
9686,'please add possibility set price market distribution trial mode existence individually caps',1
9702,'add ability memory profiting background agent periodic limited memory sometimes hard catch memory leads',0
9706,'either one use net access library microsoft advises net app native code wirt component',0
9709,'limit artificially like native developer',0
9735,'page temples updated use mediumsized semibold font default title text',1
9750,'taskbased operations would make code much clean readable',1
9754,'add woolen cameracapturetask indicate whether want save picture taken saved camera roll',1
9755,'please expose etc logging namespaces like systemdiagnosticseventing possible log events windows pp',1
9756,'currently way take advantage direct manipulation all windows store app using scrollviewer',0
9794,'instead top charts style listing popular apes displayed every phone anywhere create new form distribution results randomized every time user looks marketplace',1
9796,'highly rate apes appear near top appear less less frequently rating app dwindled',1
9799,'seems good appsgames chance decent exposure top charts waiting features worth',1
9819,'maybe think way reward users take time actually try app review',1
9829,'would great able use emulation surface emulation matter mobility demonstrations deliver dynamic arm domo often nearly always want include mobility scenario screen rest domo',1
9873,'even allow fearless migration new hardware',0
9926,'would like ask microsoft give tooloption emulation take screenshots one emulation produce screenshots resolutions languages supported pp',1
9929,'run one emulation take screenshots close run another',0
9978,'sharp proves key technologies made available sharp would suggest either support project provide interface',1
9980,'would natural allow physical search key activate search function active application rather loading being rarely goal',1
9994,'associate bound objects data temples implicitly type instead explicitly temple name',1
10007,'information see data binding',0
10027,'add optional support hook hardware keys press events lens plain featureshardware keys include vol vol stage light press camera shutter stage deep press camera shutter',1
10028,'application problems problem detected advance developer publication correction version client without knowing happening would possible microsoft implement communications resource developer customers installed application',1
10168,'readwrite access email son settings could enable applications create custom son profile based weekdays time position etc',1
10203,'impossible connect easily ftp network suggest include future sd',1
10204,'hope microsoft open asia voice function fattest',1
10212,'need support special multitasking tasks like void',1
10260,'please add possibility add spell check service provide data system wide one existed',1
10267,'microsoft created incentive like free device blackberry free year membership amazon could drive lot developer platform crucial platform taking',1
10297,'would really nice gesture option with put everything side left handed people stroll could also see content',1
10389,'would great able emulation location data use me file format either via file importexport using files directly feed',1
10408,'currently pin album would useful pin single image tile way easy access',1
10459,'user able see reviews made people countries',1
10469,'apes synchronize connect network sporadically would handy easy way detect cheap connection wife connected device connected web via us',1
10474,'suggestion add properties like iswificonnected iscableconnected devicenetworkinformation execute fast',1
10492,'give developer good explanation wrong enforce good design',1
10494,'apes take longer seconds start need explain would take longer',1
10540,'please provide axis call forwarding call management functionsholdunholdswapconferenceetc',1
10541,'user would like able select songs put device library wake',1
10573,'thus idea actually developer make strolling faster subsequent stroll like every schools strolling speed increase',1
10583,'addition user able take screen shot within multitasking area using finger gesture drag app toward bottom screen screen capture icon appear outer edges icon fill green one edges completely green photograph noise occur allow sudden screen flare tell user screen shot taken saved saved images older',1
10600,'need ability developer add relevant tags app descriptions need ability search apes tags tags also verified app submission ensure there relevant',1
10633,'pleasant main page app marketplace see general presentation screenshots users reviews',1
10636,'allow user send video audit pictures mrs one pick supported',1
10649,'allow access raw data signal strength information allow creation indoor location petitioning using available wife bluetooth cellular network gas data available',1
10655,'since windows phone selling hot countries like india brother start displaying indian language characters',1
10677,'smart dealer full alternative built phone app since app also quickbutton got regular phone app whenever user wants',1
10678,'alternative giving writeaccess calendar hard get security reasons let least open appointment directly calendar pp',1
2861,'signal strength directly imparts video playback experience',0
2864,'refusing operating system component saves development effort ensures looks expected operating system evolved',0
2874,'ask request clear something happen',0
2894,'windows app service app posted locally may his express used local debut used',0
2897,'new approach developing applications simplifies development developer get rid learning technologies like cava scriptangularjquerystyle sheets number script',0
2903,'typical problem would deploymentinstallationupdate application client machine simplify process employment like rules app one obfuscated excitable file depend reference',0
2909,'bonus points all standard complaint',0
2913,'addition allow greater prominence all standard greater acceptance market media',0
2927,'require developer use background task builder background trigger activate app background',0
2930,'control offers hour minute second selection would helpful',0
2931,'add collectionviewsource function pointer get group objects propertypath',0
2935,'datepickerflyout whose date today bound update targettosource sourcetotarget',0
2940,'functions fallbackvalue used bind time parameter must match exactly',0
2955,'playback fearlessly one media another',0
2977,'control visualizing editing network graph flowcharts',0
2996,'leave alone',0
3000,'make sense idle task would suspended busy enough',0
3001,'making task busy work around idle tasks suspended would mean battery usage kind opposite want',0
3011,'microsoft wants build connected app project rome apt',0
3019,'extend brush xamlcompositionbrushbase',0
3029,'also annoy development solution target platforms could one',0
3034,'want drag drop file able get full path file name stored disk access using standard file access functions open read etc',0
3035,'want use all looks complicated looks like reduce performance making heavy direct based applications need full performance',0
3045,'example drag drop bump image app compresses saves pig image automatically older name',0
3057,'dual screen goose card glass fulfill function make application attractive',0
3064,'anna communicate app desktop',0
3065,'up of application',0
3073,'done tests up mode using dxgiswapeffectflipdiscard results slow winwinapi',0
