id,sentence,label
663_3,please enable removing language code de center language history example ever selected our languages published cap store causes tile localisation show enusdefault tile localisation bad,1
663_4,note csproj file supportedcultures entry like supportedculturesdederururu supportedcultures removed language code published new cap version old cap version still remains store replaced published,0
664_1,with means new version fully replaced old version causes serious problems,0
664_2,users still receive old cap version pp,0
664_3,store random gives old cap new cap version pp,0
664_4,pp version version cap submission,0
664_5,cap works cap works,0
665_1,sometimes store gives wrong cap version app windows phone users,0
665_2,option remove language code app language history option completely replace fully replace prevoiuses caps,1
665_3,currently ever mistaken selected language bad situation forever live wrong tile displayed russian language store english one publish update removed language update fully replace old version trouble,0
665_5,store random deliver oldwrong version cap,0
665_6,write lot support ticket one really cares issue,0
665_7,engineering team solve issue one following,0
665_8,provide workaround removing language language history need culture our way remove language history ever posted app language support,1
665_9,add implement appreslibdllxxxxmui language culture documentation appreslibdllxxxxmui exist our culture thanks tom please enable removing language code de center language history example ever selected our languages published cap store causes tile localisation show enusdefault tile localisation bad,1
665_10,with means new version fully replaced old version causes serious,0
666_1,driving car need make call times phone use vocal commands starting being search instead call contact,0
667_1,press power button clock device open phone say call person name device start calling correctly,0
667_2,driving mode activate,0
667_3,also italian translation reading sums device say fatty ending operation work say finite,0
667_4,say fatty vocal command recognized,0
667_5,little bags lucia first upgrade work fine vocal commands first upgrade bad,0
667_6,dont recognize commands,0
667_7,old work fine using sonya car sterno,0
667_8,little bags lucia first upgrade work fine vocal commands,0
667_9,outlook color schemes,0
667_10,settings current live tile size,0
667_11,open network settings tap call settings,0
667_12,hit power button sleep mode,0
667_13,wait minutes switch mobile,0
667_14,window blank heading,0
667_15,reproducible lucia can update,0
668_1,always use feature please fix sap,1
668_2,seems issue card review,0
669_1,getting annoyingplease fix,1
669_2,give working low field engineering civilstructural,0
669_3,point make app universal across devices engineers spend much time learning learning controls,0
669_4,pp runs tablets pus engineers work field come back office continue working data pus,0
670_1,windows windows phone universal app hoping adapt app windows phone well,0
671_1,saved live data saved onedrive allow roaming devices,0
672_1,give found windows phone file picked access onedrive futureaccesslist,0
672_2,aspect alone prevents adaptation app windows phone platform,0
672_3,please allow windows phone filefolder picked access onedrive store location futureaccesslist,1
673_1,also please allow onedrive older stored locally like wirt,1
673_2,otherwise real universal pp,0
673_3,saved live data,0
674_1,far tried three different apes cannot access pre windows phone photo,0
674_2,needs fixing number priority,1
674_3,would nice give developer option put payment hold reach appropriate threshold option put top next due payment reach threshold,1
675_1,de review there bug push service,0
676_1,mobile data connection get modifications wife connection push server,0
676_2,found workaround turn mobile data connection mentally push wife works,0
676_3,dr system recognized automatic with connection using turn push service automatic cellular wife,0
676_4,everytime works de review doesn,0
676_5,try insert new bank account receive error variation bank account country account,0
676_6,think correct using papal receive money another country dont want pay extra costs papal also insert tax plan country different country account,0
676_7,please remove variation validity according tax plan country account,1
676_8,another post voted can change country account,0
676_9,another post voted,0
676_10,report app purchases today noticed every line item shows app version certainly case,0
676_11,make being vision lens camera app pinnacle start quick access ardor add montana screen left music search button perhaps,0
676_12,windows phone able directly access facebook people hut,0
677_1,comment photo write walls without enter facebook pp,0
679_1,also able switch text messages facebook messages fly,0
679_2,windows phone app always open,0
679_3,lucia takes significantly longer,0
680_1,slow,0
680_2,please bring back simplicity efficiency windows phone,1
680_3,building web application give noticed single page applications curl display blank page refresh load page please check,1
680_4,would great would add removed calendars,1
680_5,appointments removed calendars dont,0
681_1,would easier son calendars removed like appointments,0
681_2,application published microsoft reason sent email,0
681_3,email received like case developer doesn know reason,0
681_4,however easily fixed writing de center,0
681_5,wirt tilebrush class missing tilemode view properties present framework like of silverlight,0
681_6,please add properties support image tiling properly,1
681_7,tons requests past years,0
681_8,see thread example,0
681_9,lockscreen text attribute separated tile attributes,1
681_10,provide lockscreen text necessary use widebackcontent attribute lip tile,0
681_11,generate custom tile ardor dont want tile lip cannot use lockscreen text feature,0
682_1,trying use apt contact namesake windowsapplicationmodelcontacts doesn work expected,0
682_2,first windows phone always get exception trying call pickcontactasync,0
682_3,strange since expecting see least contact app launched seems there problem establishing contract,0
683_1,also checked contact permission enabled packageappxmanifest,0
